DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP
216.1724,94.9135,1.779,1.5248,0.691891323,9.8401,61.7051,0.9697,3768792.856,1961.0
216.3248,98.0897,1.7978,1.5233,0.747583353,10.0032,60.4712,0.9915,3811305.509,1961.0
216.4772,96.9113,1.8022,1.5239,0.726921087,10.1115,57.8528,0.922,3823325.056,1963.0
216.6296,98.642,1.7969,1.5253,0.757267475,10.1094,57.1586,0.9791,3814764.937,1962.0
216.782,95.7705,1.7813,1.5257,0.706918107,10.0645,60.7532,0.9858,3784307.011,1961.0
216.9344,96.8352,1.7803,1.5252,0.725586737,10.0477,57.494,0.9859,3784841.461,1964.0
217.0868,93.2178,1.7809,1.5253,0.662158632,9.9196,60.7292,0.9367,3788776.845,1961.0
217.2392,95.1246,1.7701,1.5258,0.695592786,9.7978,62.2486,0.9372,3768444.058,1960.0199
217.3916,94.8068,1.7584,1.5263,0.690020427,9.7035,61.0938,0.9577,3746161.617,1963.0
217.544,94.0088,1.7622,1.5272,0.67602816,9.6933,62.271,0.9732,3756889.161,1962.0
217.6964,93.7364,1.7644,1.5283,0.671251852,9.6245,56.8846,0.9543,3764214.576,1963.0
217.8488,85.3927,1.7771,1.5288,0.524952,9.68,59.0659,0.9537,3793963.204,1964.0
218.0012,85.1561,1.7801,1.5282,0.520803416,9.7468,61.4649,0.9433,3803026.574,1964.0
218.1536,85.6828,1.7807,1.5276,0.530038663,9.8702,63.3648,0.9362,3806967.932,1963.0
218.306,92.2932,1.7734,1.5281,0.645946538,9.8398,59.414,0.9908,3794009.832,1964.0
218.4584,95.2506,1.7812,1.5297,0.697802092,9.9194,60.0372,0.9893,3813357.4,1962.0
218.6108,93.0055,1.7885,1.5312,0.658436127,9.9094,62.4513,0.9522,3831657.075,1963.0
218.7632,94.2173,1.7894,1.532,0.679684034,9.9068,59.0226,0.9319,3836257.727,1965.0
218.9156,93.0962,1.7853,1.532,0.660026477,9.7335,57.7033,0.9576,3830134.203,1966.0
219.068,94.0579,1.815,1.5319,0.676889088,9.7948,63.0863,1.0005,3896562.516,1963.0
219.2204,95.0366,1.8153,1.5324,0.69404978,9.7554,60.1418,0.9719,3899917.763,1962.0
219.3728,93.6085,1.8078,1.5328,0.669009232,9.825,61.4624,0.936,3886505.049,1965.0
219.5252,90.8207,1.7901,1.5316,0.620127473,9.8152,60.0846,0.9519,3851126.193,1967.0
219.6776,88.7037,1.8093,1.5301,0.583007636,9.8483,61.558,0.9733,3895134.28,1966.0
219.83,89.4223,1.804,1.5303,0.59560769,9.8337,63.2017,0.979,3886418.536,1964.0
219.9824,89.1306,1.7997,1.5313,0.590492973,9.8089,57.3706,0.9995,3879842.788,1964.0
220.1348,89.324,1.796,1.5316,0.593884082,9.821,59.1261,1.0255,3874548.588,1965.9921
220.2872,89.7731,1.8124,1.5315,0.601758677,9.8998,62.5077,0.9933,3912635.509,1962.0
220.4396,92.2281,1.8144,1.5318,0.644805064,9.9579,59.9889,0.9795,3919662.98,1964.0
220.592,90.1195,1.8114,1.5339,0.607832514,10.1093,53.8446,0.9681,3915887.418,1964.0
220.7444,90.5154,1.8135,1.5401,0.614774291,10.1817,62.0802,1.0431,3923135.7,1965.0
220.8968,88.6659,1.8005,1.5483,0.582344845,10.1235,56.479,1.0648,3897701.946,1966.0
221.0492,89.2087,1.8012,1.5521,0.591862392,9.9782,58.1096,1.0208,3901907.427,1965.0
221.2016,90.106,1.7751,1.5512,0.607595802,9.7305,59.9465,1.011,3848018.61,1966.0
